web-scraper-order,web-scraper-start-url,Category,Category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605348823-235,https://www.banglashoppers.com/,Kids & Baby Shop,https://www.banglashoppers.com/kids-baby-shop.html,Parachute Just For Baby Olive & Almond Oil - 200ml,https://www.banglashoppers.com/parachute-just-for-baby-olive-almond-oil-200ml.html,Parachute Just For Baby Olive & Almond Oil - 200ml,288,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/8/2/82._parachute_just_for_baby_baby_oil_200ml.png,0,0
1605347396-96,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,HE Advance Grooming Perfume Body Spray - Smart - 150ml,https://www.banglashoppers.com/he-advance-grooming-perfume-body-spray-smart-150ml.html,HE Advance Grooming Perfume Body Spray - Smart - 150ml,260,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/h/e/he_smart_can150ml_gcc.jpg,0,0
1605344712-31,https://www.banglashoppers.com/,Fashion & Accessories,https://www.banglashoppers.com/fashion-accesories.html,Ardell Lash Applicator,https://www.banglashoppers.com/ardell-lash-applicator.html,Ardell Lash Applicator,225,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/a/r/ardell_lash_applicator_1.jpg,0,0
1605351831-453,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,The Body Shop - Ginger Scalp Care Conditioner - 250ml,https://www.banglashoppers.com/the-body-shop-ginger-scalp-care-conditioner-250ml.html,The Body Shop - Ginger Scalp Care Conditioner - 250ml,999,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/t/h/the_body_shop_-_ginger_scalp_care_conditioner_-_250ml_uk_.jpg,0,0
1605347773-129,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Ossum Deodorant Roll On For Women - Teaser - 50ml,https://www.banglashoppers.com/ossum-deodorant-roll-on-for-women-teaser-50ml.html,Ossum Deodorant Roll On For Women - Teaser - 50ml,162,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/o/s/ossum_deodorant_roll_on_for_women_-_teaser_-_50ml.jpg,0,0
1605351283-417,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Neutrogena All-In-1 Salicylic Acid Acne Control Exfoliate Daily Face Scrub - 124ml,https://www.banglashoppers.com/neutrogena-all-in-1-salicylic-acid-acne-control-exfoliate-daily-face-scrub-124ml.html,Neutrogena All-In-1 Salicylic Acid Acne Control Exfoliate Daily Face Scrub - 124ml,1250,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/n/e/neutrogena-all-in-1-acne-control-salicylic-acid-facial-scrub_-4.2-fl-oz-01.jpg,0,0
1605351748-451,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Lifebuoy - Total 10 Germ Protection Hand Wash - 200ml,https://www.banglashoppers.com/lifebuoy-total-10-germ-protection-hand-wash-200ml.html,Lifebuoy - Total 10 Germ Protection Hand Wash - 200ml,90,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/l/f/lfthw200h.jpg,0,0
1605348582-208,https://www.banglashoppers.com/,Mens Products,https://www.banglashoppers.com/mens-products.html,Nivea combo 01 - Shower Gel (Men Energy+Frangipani) - 250+250 ml,https://www.banglashoppers.com/nivea-combo-01-shower-gel-men-energy-frangipani-250-250-ml.html,Nivea combo 01 - Shower Gel (Men Energy+Frangipani) - 250+250 ml,600,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/1/_/1_14.jpg,0,0
1605350014-314,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Pantene - Pro-V Advanced Hairfall Solution Long Black Shampoo - 180ml,https://www.banglashoppers.com/pantene-pro-v-advanced-hairfall-solution-long-black-shampoo-180ml.html,Pantene - Pro-V Advanced Hairfall Solution Long Black Shampoo - 180ml,210,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/p/a/pantene_-_pro-v_advanced_hairfall_solution_long_black_shampoo_-_180ml_.jpg,0,0
1605346963-73,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Gucci - Flora Gardenia Limited Edition Eau De Toilette For Women Yellow - 100ml,https://www.banglashoppers.com/gucci-flora-gardenia-limited-edition-eau-de-toilette-for-women-yellow-100ml.html,Gucci - Flora Gardenia Limited Edition Eau De Toilette For Women Yellow - 100ml,7155,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/g/u/gucci_-_flora_gardenia_limited_edition_eau_de_toilette_for_women_yellow_-_100ml_france_.jpg,0,0
1605353358-525,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,Pepsodent - Slim Care Sensitive Toothbrush Blue,https://www.banglashoppers.com/pepsodent-slim-care-sensitive-toothbrush-blue.html,Pepsodent - Slim Care Sensitive Toothbrush Blue,90,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/p/e/pepsodent---slim-care-sensitive-toothbrush-blue.jpg,0,0
