web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,,,,,,,,
1603717954-264,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Leather & Vinyl Restorer - 400ml,https://www.daraz.com.bd/products/leather-vinyl-restorer-400ml-i151906155-s1079294982.html?search=1,Leather & Vinyl Restorer - 400ml,450,https://static-01.daraz.com.bd/p/4dd2c77c5f61c679565e5d40966a5790.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718006-274,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Portable Mini Air Compressor Pumps,https://www.daraz.com.bd/products/portable-mini-air-compressor-pumps-i148748602-s1074892485.html?search=1,Portable Mini Air Compressor Pumps,699,https://static-01.daraz.com.bd/p/48fcee1f3e2f238f657514ce7214b3ea.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717778-227,https://www.daraz.com.bd/,Interior Vehicle Care,https://www.daraz.com.bd/interior-care/?spm=a2a0e.pdp.breadcrumb.3.7571265e1sc5X8,Jiuhe 12v Portable Car Vacuum Cleaner,https://www.daraz.com.bd/products/jiuhe-12v-portable-car-vacuum-cleaner-i145050787-s1070102836.html?search=1,Jiuhe 12v Portable Car Vacuum Cleaner,1150,https://static-01.daraz.com.bd/p/96f2833beb8c274a76f452b0b47caabc.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718022-276,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Crown High Pressure Car Washer 1400W / CT42020,https://www.daraz.com.bd/products/crown-high-pressure-car-washer-1400w-ct42020-i147712249-s1073460006.html?search=1,Crown High Pressure Car Washer 1400W / CT42020,6380,https://static-01.daraz.com.bd/p/d49357d37eef5464260e8de66af8274e.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717240-113,https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/automotive-motorcycles/,Skull Sticker for Bike Apache/Yamaha/Honda/Suzu.ki Decoration,https://www.daraz.com.bd/products/skull-sticker-for-bike-apacheyamahahondasuzuki-decoration-i152786255-s1080880569.html?search=1,Skull Sticker for Bike Apache/Yamaha/Honda/Suzu.ki Decoration,89,https://static-01.daraz.com.bd/p/49a4ea4a8dc2bdb60a342e9831773ab8.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717293-125,https://www.daraz.com.bd/,Car Audio,https://www.daraz.com.bd/car-audio/,USB Blutooth Music Receiver Adapter,https://www.daraz.com.bd/products/usb-blutooth-music-receiver-adapter-i133058922-s1054508772.html?search=1,USB Blutooth Music Receiver Adapter,240,https://static-01.daraz.com.bd/p/a9277ffef8d4b4ba1892ce65e1ac1b59.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718255-318,https://www.daraz.com.bd/,Exterior Accessories,https://www.daraz.com.bd/exterior-accessories/,Door Guard Buffer Protector - Black,https://www.daraz.com.bd/products/door-guard-buffer-protector-black-i153370275-s1081790475.html?search=1,Door Guard Buffer Protector - Black,199,https://static-01.daraz.com.bd/p/7d62e8b1e881b82f1e8129cd5b5b8bb8.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716917-46,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,2x Motorcycle Rearview Mirrors W/ LED Turn Signal For Universal Harley Motorcycle,https://www.daraz.com.bd/products/2x-motorcycle-rearview-mirrors-w-led-turn-signal-for-universal-harley-motorcycle-i153264019-s1081638304.html?search=1,2x Motorcycle Rearview Mirrors W/ LED Turn Signal For Universal Harley Motorcycle,8424,https://static-01.daraz.com.bd/p/5e564db991a2feeaa8e3d8570c153bb1.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716912-45,https://www.daraz.com.bd/,Moto Parts & Accessories,https://www.daraz.com.bd/motorcycle-parts-spares/,"7/8"" 22mm Universal Motorcycle Billet Aluminum Bar End Side Rearview Mirrors",https://www.daraz.com.bd/products/78-22mm-universal-motorcycle-billet-aluminum-bar-end-side-rearview-mirrors-i153282570-s1081680026.html?search=1,null,null,,0,,,,,,,,
1603717763-224,https://www.daraz.com.bd/,Interior Vehicle Care,https://www.daraz.com.bd/interior-care/?spm=a2a0e.pdp.breadcrumb.3.7571265e1sc5X8,Super Suction Car Vacuum Cleaner - White and Black,https://www.daraz.com.bd/products/super-suction-car-vacuum-cleaner-white-and-black-i111092455-s1028076550.html?search=1,Super Suction Car Vacuum Cleaner - White and Black,850,https://static-01.daraz.com.bd/p/23b3617769ee3e7e918e9124a4bf1514.jpg_720x720q75.jpg_.webp,0,,,,,,,,
