web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1605178891-311,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 230 DS,https://www.pickaboo.com/nokia-230.html,Nokia 230 DS,2100,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/2/3/230_2.jpg,5
1605178542-267,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,SMK Twister Captain America GL 163 Full Face Helmet (Clear Visor),https://www.pickaboo.com/smk-twister-captain-america-gl-163-full-face-helmet-clear-visor.html,SMK Twister Captain America GL 163 Full Face Helmet (Clear Visor),4700,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/c/a/captain-america--3.jpg,0
1605178930-314,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia-150 Ds,https://www.pickaboo.com/nokia-150.html,Nokia-150 Ds,2100,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/1/n150.jpg,5
1605178556-269,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Netflix 1 Screen Sharing 1 Month,https://www.pickaboo.com/netflix-1-screen-basic-package-subscription-1-month.html,Netflix 1 Screen Sharing 1 Month,250,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/e/netflix_gift_card_artboard_1_2.jpg,3.7
1605178314-237,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,PRITECH PR-2144 Professional Hair Trimmer,https://www.pickaboo.com/pritech-pr-2144-professional-hair-trimmer.html,PRITECH PR-2144 Professional Hair Trimmer,1799,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/2/1/2144-1.jpg,0
1605178741-293,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Round Shape Exclusive Wooden Roti Maker Jumbo Size 10 Inch with Both Side Gum  Tape and Food Grade Wrapping Poly Roll,https://www.pickaboo.com/round-shape-exclusive-wooden-roti-maker-jumbo-size-10-inch-with-both-side-gum-tape-and-food-grade-wrapping-poly-roll.html,Round Shape Exclusive Wooden Roti Maker Jumbo Size 10 Inch with Both Side Gum  Tape and Food Grade Wrapping Poly Roll,1890,,0
1605178830-308,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Bosch Compact Toaster (TAT6A111GB) - White & Grey,https://www.pickaboo.com/bosch-compact-toaster-tat6a111gb-white-dark-grey.html,Bosch Compact Toaster (TAT6A111GB) - White & Grey,5690,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/b/o/bos-1.jpg,0
1605178548-268,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Philips Hairdryer HP8142,https://www.pickaboo.com/philips-hairdryer-hp8142.html,Philips Hairdryer HP8142,1505,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/p/h/philips-hairdryer-hp8142.jpg,0
1605178835-309,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Miyako PTC602 Electric Room Heater,https://www.pickaboo.com/miyako-ptc602-electric-room-heater.html,Miyako PTC602 Electric Room Heater,2490,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/e/heater.jpg,0
1605179053-326,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Redmi Note 9 4GB/64GB,https://www.pickaboo.com/redmi-note-9-4gb-64gb.html,Redmi Note 9 4GB/64GB,18999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/r/e/redmi-note9-2.jpg,5
